Year,Agric,Food,Soda,Beer,Smoke,Toys,Fun,Books,Hshld,Clths,Hlth,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach,ElcEq,Autos,Aero,Ships,Guns,Gold,Mines,Coal,Oil,Util,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin,Other
192607,99.8,31.19,-99.99,7.12,59.72,13,28.64,4.33,22.27,18.36,-99.99,19.14,28.07,57.59,-99.99,6.18,20.8,10.35,48.56,-99.99,27.47,110.78,47.55,9.52,43.95,-99.99,-99.99,27.74,40.52,92.79,81.22,350.36,-99.99,11.21,29.37,-99.99,26.17,227.11,-99.99,35.35,68.67,1.19,46.65,10.82,14.5,31.82,22.92,10.28,24.25
192608,102.06,31.15,-99.99,6.75,60.47,14.12,29.34,6.5,22.13,19.83,-99.99,20.09,28.08,62.13,-99.99,6.2,21.3,9.5,50.39,-99.99,28.91,114.29,55.11,9.46,44.17,-99.99,-99.99,29.3,40.83,91.43,86.81,353.27,-99.99,11.81,30.47,-99.99,26.06,230.18,-99.99,37.86,69.79,0.9,46.57,11,15.17,31.65,23.56,9.76,25.51
192609,104.34,31.95,-99.99,8.58,64.03,16.5,29.1,9.29,21.18,19.29,-99.99,20.72,29.13,65.53,-99.99,6.71,22.27,10.2,51.21,-99.99,29.34,116.69,57.11,8.78,44.95,-99.99,-99.99,29.45,41.18,94.86,85.01,360.96,-99.99,11.99,31.41,-99.99,24.84,241.94,-99.99,36.82,72.9,0.95,46.11,10.94,16.97,32.46,24.47,9.7,27.21
192610,102.91,32.21,-99.99,8.92,64.42,17.88,30.58,8.83,21.23,19.03,-99.99,21.43,29.04,68.47,-99.99,6.82,22.04,8.8,51.02,-99.99,29.3,114.93,59.69,8.15,45.96,-99.99,-99.99,29.46,41.3,90.87,86.41,364.16,-99.99,12.01,32.42,-99.99,23.27,240.41,-99.99,34.77,72.71,0.88,46.15,10.8,16.46,32.66,23.72,9.39,26.16
192611,102.34,30.9,-99.99,8.62,65.08,17.62,29.01,9.31,20.14,19.03,-99.99,22.17,28.29,65.06,-99.99,6.84,21.05,8.04,48.9,-99.99,29.6,108.33,54.81,7.07,43.22,-99.99,-99.99,28.51,41.9,89.87,83.92,363.74,-99.99,12.17,31.61,-99.99,21.91,240.92,-99.99,32.8,70.58,0.74,45.03,10.33,14.52,31.26,22.33,9.56,23.94
192612,109.25,32.79,-99.99,9.25,67.68,17.62,29.52,8.4,19.91,19.35,-99.99,22.92,29.77,68.42,-99.99,7.17,21.5,8.23,50.52,-99.99,30.28,113.84,53.21,7.47,46.61,-99.99,-99.99,30.92,41.7,89.3,86.7,369.65,-99.99,12.27,32.65,-99.99,22.2,247.05,-99.99,33.91,71.34,0.78,47.72,10.73,15.3,32.38,22.49,10.03,24.87
192701,104.84,32.55,-99.99,8.88,68.97,18.06,29.59,8.12,20.24,19.28,-99.99,21.74,29.98,70.73,-99.99,7.58,21.92,8.09,52.06,-99.99,31.62,109.94,58.62,8.15,47.32,-99.99,-99.99,30.86,42.3,93.56,86.12,371.52,-99.99,12.73,33.72,-99.99,22.02,272.12,-99.99,32.34,73.36,0.85,47.91,10.8,14.9,32.87,24.28,9.83,24.29
192702,101.01,32.36,-99.99,8.83,72.95,18.38,30.1,8.22,20.99,19.06,-99.99,22.93,31.22,70.67,-99.99,8.1,21.49,7.8,51.71,-99.99,31.94,108.81,58.01,7.97,46.81,-99.99,-99.99,32.1,40.48,95.02,84.41,378.52,-99.99,13.42,33.97,-99.99,21.9,263.93,-99.99,31.29,75.2,0.7,46.5,10.95,14.1,32.61,23.83,9.31,23.33
192703,108.73,33.51,-99.99,9.96,73.45,16.88,30.82,9.07,21.78,19.55,-99.99,23.87,31.28,77.5,-99.99,8.72,22.36,8.43,53.34,-99.99,34.29,113.49,63.06,7.59,49,-99.99,-99.99,33.75,42.76,95.58,87.9,393.55,-99.99,14.21,36.29,-99.99,23.17,269.56,-99.99,32.86,78.77,0.72,47.88,11.64,15.27,32.82,24.49,9.62,23.13
192704,105.94,34.13,-99.99,8.61,77.03,15.38,31.02,8.36,21.65,19.55,-99.99,23.99,31.56,81.51,-99.99,8.21,22.88,8.65,53.82,-99.99,33.35,112.85,63.88,7.59,47.82,-99.99,-99.99,34.76,45.09,88.35,87.84,500.46,-99.99,13.55,38.01,-99.99,20.26,286.44,-99.99,29.67,80.32,0.58,47.67,11.31,13.82,35.2,23.44,9.56,23.63
192705,111.66,34.77,-99.99,8.75,80.09,15.31,29.73,8.67,21.9,20.69,-99.99,23.9,32.48,83.7,-99.99,8.2,22.7,7.9,53.49,-99.99,33.91,119.95,65.6,6.72,47.28,-99.99,-99.99,35.72,45.2,83.09,89.13,489.8,-99.99,13.6,39.81,-99.99,22.05,290.53,-99.99,30.93,80.83,0.51,49.44,12.02,13,36.29,23.56,10.63,24.84
192706,116.26,37.03,-99.99,9.77,89.13,14.19,29.89,8.54,24.03,21.35,-99.99,25.06,33.49,86.9,-99.99,9.29,26.13,7.07,55.14,-99.99,36.71,129.82,68.34,8.81,52.36,-99.99,-99.99,35.8,46.65,86.76,97,506.18,-99.99,15.84,41.68,-99.99,21.57,302.81,-99.99,32.45,85.97,0.49,50.5,12.53,14.13,40.85,24.21,11.89,24.94
192707,111.43,35.79,-99.99,10.75,88.9,11.28,27.05,10.54,21.01,18.87,-99.99,27.53,35.26,85.18,-99.99,9.69,23.8,12.95,55.02,-99.99,33.41,103.9,67.02,10.04,49.41,-99.99,-99.99,35.93,44.04,93.23,100.48,421.56,7,15.98,40.58,-99.99,23.1,319.96,-99.99,32.35,80.86,1.79,47.61,13.15,15.07,36.41,19.4,21.2,19.29
192708,118.17,37.39,-99.99,11.15,92.78,11.57,27.29,10.49,22.11,19.98,-99.99,30.68,38.3,100.03,-99.99,10.09,25.43,12.85,61.97,-99.99,36.57,119.16,76.02,9.76,55.2,-99.99,-99.99,39,44.72,95.85,105.48,437.31,7,16.31,41.6,-99.99,26.37,342,-99.99,36.06,85.38,1.98,52.3,13.74,15.58,41.27,20.14,21.36,20.61
192709,120.52,38.25,-99.99,10.7,95.94,12.24,28.92,10.56,22.07,20.26,-99.99,29.74,38.53,101.82,-99.99,10.13,25.13,12.57,64.08,-99.99,36.74,127.58,81.08,12.65,57.18,-99.99,-99.99,39.19,45.81,94.97,108.73,439.17,7.2,17.61,45.48,-99.99,22.89,340.47,-99.99,37.24,83.62,1.93,56.1,13.77,16.36,41.32,20.3,21.96,21.61
192710,128.47,40.17,-99.99,11.45,99.89,12.2,29.69,10.6,22.49,21.05,-99.99,32.12,40.33,107.56,-99.99,9.97,26.11,12.2,66.13,-99.99,38.53,126.77,86.01,14.88,58.84,-99.99,-99.99,41.41,46.41,97.92,117.36,462.04,7.1,18.78,47.43,-99.99,25.03,350.72,-99.99,38.49,86.85,2.04,60.28,14.5,16.82,44.6,20.2,23.31,21.71
192711,121.02,39.32,-99.99,11.26,99.56,12.05,29.82,10.24,22.05,8.31,-99.99,32.61,42.43,99.32,-99.99,9.69,24.84,12.18,62.3,-99.99,36.47,125.85,84.01,12.15,54.67,-99.99,-99.99,40.02,43.59,96,111.96,452.37,7.3,19.58,47.63,-99.99,24.19,324.06,-99.99,38.37,82.71,1.6,57.11,14.22,17.26,49.39,19.32,23.2,20.92
192712,128.85,42.16,-99.99,12.42,105.83,11.45,31.15,11.09,22.5,8.44,-99.99,33,44,107.31,-99.99,10.2,26.31,12.02,69.68,-99.99,40.44,140.17,88.01,14.45,59,-99.99,-99.99,43.31,46.85,99.27,118.67,465.15,6.85,21.49,50.48,-99.99,29.81,348.67,-99.99,44.66,86.75,1.58,63.8,14.6,19.28,52.9,20.94,24.98,23.01
192801,126.95,44.2,-99.99,14,105.96,10.55,31.85,11.45,24.69,8.39,-99.99,32.73,43.67,106.75,-99.99,10.44,25.86,12.75,73.39,-99.99,41.43,140.73,94.58,20.31,59.83,-99.99,-99.99,48.64,45.23,99.48,120.98,465.55,6.5,20.58,55.86,-99.99,28.33,336.75,-99.99,45.12,86.29,1.76,63.31,14.24,21.02,63.26,21.15,25.43,23.26
192802,124.55,45.63,-99.99,13.99,103.22,10.39,31.78,11.78,25.55,8.96,-99.99,33.82,44.52,105.38,-99.99,10.31,26.2,13.81,71.45,-99.99,40.87,139.31,91.46,20.61,62.02,-99.99,-99.99,47.73,42.93,97.75,127.73,466.92,6.5,21.11,57.67,-99.99,28.15,336.36,-99.99,45.62,84.98,1.74,62.64,13.99,20.54,62.77,21.46,26.96,22.46
192803,125.08,43.96,-99.99,13.25,96.42,9.5,31.7,11.73,25.4,8.7,-99.99,32.95,35.05,106.14,-99.99,9.71,26.55,14.22,69.01,-99.99,40.8,137.27,91.7,18.48,59.23,-99.99,-99.99,43.91,42.36,97.06,131.36,465.52,6.03,20.76,59.36,-99.99,27.61,337.65,-99.99,45.84,83.53,1.6,61.75,13.58,19.94,61.73,21.63,25.23,21.66
192804,125.08,46.21,-99.99,15.17,98.15,12.84,33.27,12.82,27.83,9.01,-99.99,35.98,38.64,119.39,-99.99,10.54,28.09,14.57,72.91,-99.99,43.28,172.17,117.08,23.06,62.51,-99.99,-99.99,46.69,44.51,101.94,139.7,468.84,6.36,20.58,59.64,-99.99,31.07,348.67,-99.99,50.91,88.02,1.73,66.99,13.96,24.16,66.38,22.11,28.21,23.57
192805,124.72,47.61,-99.99,15.81,92.29,12.58,35.38,13.18,28.8,9.88,-99.99,38.02,38.83,118.86,-99.99,10.04,28.9,14.96,73.8,-99.99,44.74,176.32,118.22,37.32,62.52,-99.99,-99.99,46.32,45.03,118.45,154.57,592,6.83,23.36,60.85,-99.99,30.91,354.57,-99.99,50.61,91.65,1.62,66.7,14,26.8,69.59,27.22,30.74,26.16
192806,123.76,48.53,-99.99,16.68,91.82,13.66,35.7,14.65,28.04,9.75,-99.99,39.65,42.96,122.38,-99.99,9.4,28.31,17.92,77.49,-99.99,46.67,179.42,123.72,44.64,60.87,-99.99,-99.99,46.85,45.25,111.11,156.5,631.15,6.55,25.58,60.99,-99.99,31.79,372.26,-99.99,53.53,90.91,1.75,70.88,15.93,26.46,70.11,28.6,31.95,25.7
192807,120.29,46.86,-99.99,15.93,83.45,12.15,36.58,15.74,24.93,9,-99.99,46.87,69.99,117.98,-99.99,9.35,39.85,16.83,72.27,-99.99,44.73,164.66,115.31,36.58,56.3,-99.99,-99.99,45.07,36.75,107.63,154.49,644.26,6.03,23.92,69.83,-99.99,30.12,362.03,-99.99,42.6,90.81,3.95,65.87,15.51,52.79,82.2,34.25,27.41,22.63
192808,119.95,47.36,-99.99,15.94,86.22,13.38,36.81,16.22,25.07,9.03,-99.99,46.27,72.39,119.91,-99.99,9.61,40.64,16.37,74.06,-99.99,44.85,162.95,119.23,38.6,54.7,-99.99,-99.99,44.4,36.1,108.83,152.09,636.03,5.65,23.22,73.71,-99.99,31.96,380.29,-99.99,44.32,90.25,3.95,69.52,15.39,52.84,81.81,34.03,27.97,22.45
192809,121.14,51.44,-99.99,17.91,89.1,13.44,40.56,16.2,27.43,9.01,-99.99,49.88,83.81,130.17,-99.99,9.78,42.29,16.32,80.66,-99.99,48.05,182.99,129.47,43.94,57.42,-99.99,-99.99,47.67,36.76,110.92,161.4,664.99,5.1,26.27,77.8,-99.99,32.03,380.29,-99.99,49.79,93.44,4.11,78.83,17.24,55.45,86.6,35.31,29.37,25.11
192810,120.05,52.27,-99.99,17.91,88.25,16.22,44.27,16.34,30.1,8.87,-99.99,52.98,80.78,134.72,-99.99,10.1,44.45,16.06,84.93,-99.99,49.72,182.33,139.92,46.57,56.33,-99.99,-99.99,48.79,36.31,116.99,167.22,657.74,5.25,25.75,83.72,-99.99,33.17,366.66,-99.99,48.92,93.44,4.15,78.87,17.15,48.97,84.54,34.85,29.78,24.09
192811,125.73,51.5,-99.99,18.53,91.25,14.51,44.16,17.14,32.52,8.54,-99.99,52.64,80.87,141.55,-99.99,10.69,47.08,16.37,90.27,-99.99,50.73,186.12,139.71,43.8,55.66,-99.99,-99.99,50.39,35.41,119.55,163.61,677.23,4.9,27.51,84.5,-99.99,33.66,370.26,-99.99,46.12,91.94,4.87,83.57,16.75,50.96,87.62,34.16,30,22.83
192812,127.79,55.71,-99.99,19.59,97.06,15.45,48.84,17.82,37.88,8.72,-99.99,53.74,85.04,157.94,-99.99,11.64,51.39,16.48,103.07,-99.99,58.53,229.86,144.56,62.72,58.81,-99.99,-99.99,57.74,37.65,140.05,199.02,722.45,4.6,29.99,93.88,-99.99,37.74,382.6,-99.99,48.31,100.08,5.45,96.29,18.3,56.46,94.36,36.04,34.06,23.45
192901,125.32,56.56,-99.99,18.78,94.25,14.36,48.2,18.05,36.11,8.63,-99.99,52.39,109.62,161.29,-99.99,10.93,51.6,16.59,106.52,-99.99,60.15,244.17,147.67,63.05,59.31,-99.99,-99.99,58.53,37.36,133.48,201.74,711.49,4.15,28.55,110.04,-99.99,39,376.43,-99.99,48.75,99.78,5.22,95.02,17.61,68.36,93.02,35.93,34.87,20.49
192902,140.09,57.71,-99.99,20.44,97.78,15.01,53.36,18.72,38.46,8.45,-99.99,54.8,112.79,197.97,-99.99,10.77,55.75,16.73,114.57,-99.99,67.42,275.39,148.92,64.14,59.44,-99.99,-99.99,63.36,37.55,122.58,227.83,806.64,3.63,28.69,113.44,-99.99,43.89,378.49,-99.99,51.46,104.26,4.94,91.11,17.57,79.32,95.24,41.46,36.06,20.74
192903,149.08,55.76,-99.99,19.61,92.71,13.91,54.28,17.67,35.75,8.07,-99.99,55.85,111.23,197.58,-99.99,10.99,53.46,18.25,124.31,-99.99,68.05,286.75,148.66,65.27,59.87,-99.99,-99.99,68.5,37.88,121.82,222.83,797.33,3.9,29.84,114.61,-99.99,43.38,380.29,-99.99,54.3,102.41,4.78,88.58,17.55,102.68,90.24,43.45,36.91,19.24
192904,131.82,53.46,-99.99,18.99,88.26,12.84,48.42,16.57,32.78,7.6,-99.99,56.13,108.44,190.04,-99.99,10.18,49.86,18,123.47,-99.99,64.98,300.51,146.47,60.72,60.75,-99.99,-99.99,70.72,35.34,135.74,215.35,823.33,3.4,28.3,121.94,-99.99,42.98,368.2,-99.99,55.06,99.14,4.33,83.92,16.84,103.65,85.98,41.87,36.63,17.82
192905,123.33,56.89,-99.99,21.45,86.09,12.29,48.86,16.38,32.9,7.85,-99.99,57.05,109.81,196.96,-99.99,10.44,51.45,21.17,124.72,-99.99,67.67,303.71,144.51,64.94,59.55,-99.99,-99.99,66.48,34.29,136.84,232.08,851.22,3.3,29.13,130.47,-99.99,45.32,369.75,-99.99,59.35,100.33,4.44,86.63,18.56,103.15,87.18,43.23,36.49,15.9
192906,114.22,53.98,-99.99,19.09,85.53,10.22,45.19,17.5,29.45,7.29,-99.99,51.05,101.29,182,-99.99,8.97,47.68,19.82,108.55,-99.99,60.89,306.22,121.26,56.36,55.54,-99.99,-99.99,58.66,32.59,128.53,242.71,776.59,2.88,27.64,130.51,-99.99,44.13,352.78,-99.99,54.31,102.31,4.14,78.85,17.97,99.69,85.19,39.14,35.74,13.76
192907,111.87,60.64,-99.99,22.7,82.29,14.09,56.42,51.26,40.72,8.58,-99.99,56.87,114.37,210.12,-99.99,11.96,48.83,20.31,115.16,-99.99,64.48,332.83,125.54,110.77,57.8,-99.99,-99.99,69.37,27.78,130.92,352.91,864.12,3.5,34.88,148.46,-99.99,47.93,373.16,10.05,57.66,111.9,11.59,80.44,21.58,90.79,68.95,62.41,94.21,14.47
192908,115.25,63.55,-99.99,22.94,83.88,12.99,55.3,50.76,43.17,8.22,-99.99,57.49,117.99,220.66,-99.99,11.49,50.54,19.79,118.76,-99.99,67.78,366.45,120.32,133.3,59.75,-99.99,-99.99,67.48,33.07,129.65,384.67,982.32,4.5,35.47,157.88,-99.99,46.77,398.61,9.19,61.56,120.9,11.13,81.1,21.95,91.27,76.29,61.61,107.33,15.12
192909,116.74,66.23,-99.99,25.19,90.45,12.69,58.9,50.69,44.65,8.27,-99.99,56.25,123.62,246.18,-99.99,11.5,48.11,19.88,132.22,-99.99,74.75,415.49,121.98,131.22,62.37,-99.99,-99.99,73.16,34.8,144.23,417.99,1090.2,4.03,35.58,168.64,-99.99,44.51,454.76,10.17,67.23,130.62,10.48,87.49,22.93,62.29,85.2,65.17,111.14,14.65
192910,117.3,64.78,-99.99,24.55,83.09,12.81,57.45,49.91,47.53,7.89,-99.99,52.12,114.48,228.99,-99.99,11.04,46.36,19.32,120.01,-99.99,70.26,366.84,110.79,100.48,62.01,-99.99,-99.99,69.21,34.03,142.36,426.04,1067.01,3.93,42.84,196.6,-99.99,40.65,468.54,9.41,64.06,121.69,10.41,82.55,22.08,59.38,76.97,60.87,117.96,14.63
192911,116.52,55.18,-99.99,17.98,84.97,10.44,47.49,45.28,31.89,7.14,-99.99,43.97,92.39,172.28,-99.99,8.66,38.23,17.7,100.97,-99.99,54.42,255.83,79.41,59.95,54.08,-99.99,-99.99,60.1,31.55,127.56,297.67,902.81,2.8,35.68,141.88,-99.99,34.38,442.04,7.7,54.29,111.62,7.87,62.47,17.73,39.61,60.01,54.95,75.31,9.85
192912,107.94,49.65,-99.99,15.85,79.06,8.03,41.3,45.05,27.15,6.37,-99.99,40.2,84.34,143.4,-99.99,7.68,34.01,17.35,86.28,-99.99,46.58,208.87,64.34,41.89,52.12,-99.99,-99.99,51.08,30.05,118.58,253.18,817.32,1.7,30.59,101.69,-99.99,28.69,371.02,6.5,46.38,102.5,7.35,54.21,15.86,30.67,49.35,56.63,62.07,8.3
193001,101.8,49.64,-99.99,16.1,80.64,7.54,36.83,45.2,27.23,6.56,-99.99,39.67,85.41,152.38,-99.99,7.1,33.15,18.79,85.37,-99.99,47.87,234.06,66.59,47.67,51.91,-99.99,-99.99,49.18,28.33,119.34,272.48,817.28,1.7,29.63,109.34,-99.99,27.03,376.32,6.24,46.11,101.77,7.26,50.67,16.21,43.12,46.35,52.2,65.15,7.58
193002,136.02,52.28,-99.99,14.52,87.51,6.58,47.15,45.78,29.83,6.79,-99.99,41.45,86.57,164.6,-99.99,7.81,35.47,18.85,89.81,-99.99,51.8,259.69,70.72,48.14,53.06,-99.99,-99.99,51.86,28.06,118.19,291.75,827.04,2.15,20.5,119.65,-99.99,30.09,410.77,9.36,49.06,105.25,7.39,52.8,18.08,51.73,53.65,53.19,70.95,12.38
193003,123.19,52.64,-99.99,14.68,91.74,7.97,55.11,48.22,27.12,6.72,-99.99,48.98,86.75,167.8,-99.99,8.25,35.56,20.24,89.53,-99.99,54.14,280.02,74.03,59.99,53.67,-99.99,-99.99,51.17,29.33,111.55,315.58,885.44,1.6,27.92,124.22,-99.99,29.14,458.47,8.64,53.27,107.1,7.05,49.74,18.05,56.83,55.03,50.2,78.59,12.12
193004,121.48,53.96,-99.99,13.4,95.11,10.17,63.24,48.92,26.92,7.17,-99.99,50.94,91.94,184.91,-99.99,7.95,36.59,20.4,94.79,-99.99,56.76,303.97,83.13,76.53,52.4,-99.99,-99.99,51.54,29.56,135.29,345.95,954.99,1.58,29.53,123.97,-99.99,30.07,500.87,9.3,56.47,111.74,6.7,48.27,18.81,58.87,60.95,53.77,85.38,12.88
193005,126.25,55.49,-99.99,11.76,92.34,7.91,65.91,49.78,26.29,7.07,-99.99,46.24,93.4,174.86,-99.99,7.13,34.34,22.06,81.68,-99.99,60.24,313.01,75.81,72.33,48.42,-99.99,-99.99,44.29,26.86,144.93,356.98,911.8,2.1,28.82,115.75,-99.99,23.63,527.9,7.29,54.86,103.59,6.97,49.26,19.25,53.51,55.13,52.13,84.08,12.46
193006,122.35,57.16,-99.99,11.71,93.64,11.8,63.19,49.19,24.29,6.74,-99.99,43.8,119.37,170.21,-99.99,6.72,34.98,22.38,81.49,-99.99,56.61,297.68,78.84,66.29,46.13,-99.99,-99.99,46.68,26.32,138.72,351.07,915.48,1.78,26.23,114.19,-99.99,20.73,508.82,5.75,54.46,104.09,6.32,49.19,18.86,50.18,52.85,50.38,78.17,11.38
193007,128.24,55.01,-99.99,10.07,93.31,9.7,58.83,52.1,51.7,16.88,-99.99,31.21,81.74,116.78,19.69,6.33,28.77,53.46,73.19,-99.99,42.92,211.75,54.98,42.58,39.89,-99.99,-99.99,42.56,23.35,120.23,321.25,916.69,1.2,21.24,75.98,-99.99,9.48,454.14,2.61,42.7,89,7.77,41.04,15.61,47.45,47.66,43.02,41.58,9.93
193008,129.74,56.68,-99.99,10.07,95.97,10.98,60,52.68,54.39,17.42,-99.99,35.16,85.73,122.96,22.48,6.63,31.16,55.74,75.34,-99.99,44.14,220.2,61.34,45.72,41.01,-99.99,-99.99,43.94,22.79,126.94,333.49,928.36,1.33,22.62,78.65,-99.99,11.39,469.9,2.87,45.69,91.51,7.63,42.08,16.02,50.63,49.68,42.66,43.82,10.49
193009,131.35,57.49,-99.99,11,99.34,11.64,62.17,50.85,54.69,16.88,-99.99,35.58,92.87,127.84,21.12,6.53,30.24,53.94,73.16,-99.99,44.37,223.8,59.23,45.36,41.38,-99.99,-99.99,37.66,23.34,124.48,336.3,943.67,1.25,23.51,81.11,-99.99,10.78,494.66,2.97,44.93,91.4,7.04,44.13,16.27,51.04,49.24,38.73,45.29,10.56
193010,114.71,51.46,-99.99,9.65,90.06,10.37,50.02,50.43,48.81,16.12,-99.99,32.58,84.16,109.35,15.04,5.65,24.96,47.2,65.36,-99.99,36.84,177.59,49.33,31.36,36.47,-99.99,-99.99,34.15,21.92,106.06,295.61,884.75,1.3,20.92,71.68,-99.99,8.84,439.51,2.15,39.1,83.24,6.33,39.25,13.85,44.04,43.33,32.8,35.49,9.21
193011,96.26,49.2,-99.99,9.35,85.68,9.9,45.5,46.86,46.22,15.27,-99.99,31.84,79.96,95.71,13.52,5.39,21.69,37.09,59.18,-99.99,32.86,144.5,44.55,26.02,32.68,-99.99,-99.99,30.4,19.19,97.1,270.63,848.31,1.12,23.08,61.2,-99.99,7.96,386.61,1.87,37.41,78.37,5.93,35.77,12.4,42.39,38.81,27.38,28.89,7.68
193012,98.86,49.51,-99.99,9.68,84.33,9.1,42.6,45.46,45.32,15.47,-99.99,30.18,76.81,95.33,14.53,5.16,21.2,34.55,58.34,-99.99,32.39,139.28,46.45,24.51,35,-99.99,-99.99,31.77,17.34,93.24,245.85,820.53,1.21,21.76,58.44,-99.99,8.43,375.92,1.59,37.52,73.81,6.09,36.64,12.05,39.33,38.13,24.09,25.77,7.48
193101,75.55,47.46,-99.99,8.56,81.14,8.68,35.15,42.66,42.52,14.1,-99.99,28.73,70.63,90.46,12.17,4.81,18.19,29.67,53.43,-99.99,30.05,121.2,45.61,19.98,29.92,-99.99,-99.99,28.83,15.76,81.31,236.07,779.31,1.05,21.41,58.34,-99.99,7.37,330.9,1.2,35.3,69.27,5.81,31.43,10.94,39.76,33.29,19.75,21.81,6.6
193102,87.49,49.58,-99.99,8.96,86.25,8.53,41.15,42.91,45.83,14.06,-99.99,31.58,76.05,89.66,14.2,5.4,19.57,28.78,54.78,-99.99,31.7,127.32,49.67,24.41,34.59,-99.99,-99.99,30.71,17.78,85.1,248.65,816.62,1.52,22.71,61.75,-99.99,7.41,349.47,1.61,36.2,76.95,6.08,33.6,11.68,41.08,38,20.85,27.46,7.8
193103,99.01,53.77,-99.99,10.46,91.21,9.15,44.82,43.5,48.65,14.44,-99.99,32.14,82.27,101.36,17.07,6.24,22.33,32.98,62.32,-99.99,35.23,159.22,57.55,31.28,36.5,-99.99,-99.99,34.91,17.66,89.65,285.51,865.17,2,23.17,70.58,-99.99,8.64,398.43,2.82,40.53,78.3,5.95,38.57,12.93,47.47,40.46,25.46,33.1,8.79
193104,87.38,52.36,-99.99,7.67,90.84,8.41,41.32,42.86,46.74,14.42,-99.99,31.4,84.07,93.65,18.67,6.02,20.49,32.57,57.49,-99.99,32.16,155.09,55.06,28.09,33.63,-99.99,-99.99,32.26,15.33,76.55,276.53,824.15,3.45,22.38,64.78,-99.99,8.22,366.35,2.36,40.33,69.81,5.73,37.21,12.09,41.28,38.44,20.75,30.37,10.63
193105,85.49,47.54,-99.99,5.99,93.21,7.34,29.75,39.17,44.43,13.23,-99.99,29.38,81.55,81.47,14.87,5.26,17.59,28.23,47.35,-99.99,27.06,132.23,51.74,24.57,27.17,-99.99,-99.99,28.08,13.67,65.97,250.98,789.11,2.85,20.59,58.24,-99.99,6.35,350.03,1.77,36.83,64.55,5.46,35.32,10.53,36.28,35.05,17.75,24.92,8.73
193106,79.72,41.35,-99.99,5.42,82.28,6.92,22.38,35.37,39.53,13.14,-99.99,23.88,73.84,71.22,13.1,4.86,14.88,23.06,37.5,-99.99,21.73,117.06,42.78,21.54,22.15,-99.99,-99.99,27.21,11.12,57.26,221.94,718.54,2.4,12.28,47.62,-99.99,5.18,292.07,1.38,31.19,52.95,4.63,34.23,9.82,34.4,29.45,12.7,19.65,8.04
193107,84.77,44.95,-99.99,5.94,91.69,7.03,29.55,34.85,48.29,14.81,-99.99,27.79,76.3,77.29,14.7,5.21,16.38,21.23,43.46,-99.99,22.93,138.02,48.36,24.9,26.89,-99.99,-99.99,31.54,12.71,74,252.15,896.06,4.21,11.76,57.96,-99.99,6.11,333.15,2.08,31.63,61.81,4.71,36.03,11.02,40.03,34.16,13.95,42.95,8.6
193108,84.91,42.82,-99.99,5.31,88.41,5.93,27.06,34.1,47.08,14.31,-99.99,26.01,79.49,72.26,12.97,4.87,14.8,18.27,36.73,-99.99,20.11,123.62,47.1,22.24,24.38,-99.99,-99.99,28.95,10.52,71.73,238.05,852.38,3.94,11.11,50.22,-99.99,5.72,304.73,1.8,27.35,55.65,4.31,35.51,10.1,33.57,31.43,12.55,39.3,9.24
193109,81.78,43.49,-99.99,6.05,84.78,5.77,29.1,32.16,46.56,13.94,-99.99,27.45,78.2,72.83,12,4.89,14.28,18.17,36.75,-99.99,19.63,128.32,45.15,23.35,22.59,-99.99,-99.99,29.5,10.22,78.13,221.53,859.33,3.97,10.64,51.1,-99.99,5.56,319.64,1.84,27.6,51.73,4.37,36.44,10.21,35.14,31.22,13.29,39.24,9.27
193110,51.34,31.62,-99.99,4.53,65.8,4.2,16.41,25.42,30.28,12.58,-99.99,19.54,54.59,51.74,8.11,3.81,9.76,11.68,26.65,-99.99,12.94,83.64,29.33,13.8,16.66,-99.99,-99.99,20.06,7.14,54.67,147.67,662.64,2.9,8.19,32.97,-99.99,3.2,223.97,1.11,21.03,40.9,3.19,25.25,7.3,22.44,16.87,8.42,23.39,7.01
193111,47.85,35.17,-99.99,5.63,69.73,4.52,19.63,19.6,34.73,12.26,-99.99,22.83,60.14,54.13,8.45,3.88,10.33,11.92,27.16,-99.99,14.09,92.71,32.86,15.61,18.65,-99.99,-99.99,23.79,7.2,62.53,162.68,691.4,3.06,8.57,36.43,-99.99,3.48,245.36,0.93,23.41,39.36,3.41,28.74,8.1,28.53,21.75,9.16,25.2,7.36
193112,43.42,34.11,-99.99,5.03,64.94,4.11,13.45,17.65,32.05,12.08,-99.99,20.77,58.24,50.93,8.11,3.49,9.66,9.91,24.38,-99.99,13.36,77.99,31.58,15.03,15.39,-99.99,-99.99,20.08,5.93,56.61,153.99,644,2.73,8.05,34.27,-99.99,3.38,216.1,0.83,20.77,30.67,2.81,25.58,6.92,30.2,19.44,7.86,21.92,6.83
193201,35.36,30.33,-99.99,4.64,60.23,2.59,9.14,13.64,29.1,10.17,-99.99,19.18,55.74,47.39,7.1,3.24,7.85,8.12,17.91,-99.99,10.89,65.95,28.92,12.83,12.37,-99.99,-99.99,17.27,4.55,45.83,132.96,581.57,2.55,6.33,30.53,-99.99,2.66,185.14,0.62,18.19,25.89,2.18,21.59,5.86,22.5,16.01,6.05,16.72,5.88
