Row Labels,Commodities,Consumer,Financials,Healthcare,Industrials,Other,TMT,Utilities
1980,0.05,0.271296296,0.639583333,-8.071666667,1.961666667,-0.027380952,0.925,0.6
1981,0.543333333,0.532407407,0.625,-7.788333333,2.284166667,0.3,1.313541667,0.6
1982,1.02,0.782407407,0.622916667,-7.498333333,2.605833333,0.628571429,1.678125,0.6
1983,1.515,1.043518519,0.5875,-7.221666667,2.9275,0.961904762,2.048958333,0.6
1984,1.993333333,1.311111111,0.575,-6.938333333,3.236666667,1.303571429,2.413541667,0.6
1985,2.468333333,1.563888889,0.566666667,-6.655,3.555,1.628571429,2.789583333,0.6
1986,2.94,1.825925926,0.535416667,-6.371666667,3.873333333,1.96547619,3.164583333,0.6
1987,3.413333333,2.085185185,0.525,-6.095,4.191666667,2.3,3.535416667,0.6
1988,3.895,2.344444444,0.504166667,-5.813333333,4.5,2.627380952,3.903125,0.6
1989,4.343333333,2.594444444,0.483333333,-5.521666667,4.8175,2.95952381,4.278125,0.6
1990,4.825,2.850925926,0.475,-5.218333333,5.145833333,3.291666667,4.653125,0.533333333
1991,5.291666667,3.126851852,0.475,-4.933333333,5.465833333,3.626190476,5.028125,0.5
1992,5.78,3.387962963,0.45625,-4.66,5.786666667,3.955952381,5.403125,0.5
1993,6.24,3.65,0.4375,-4.388333333,6.0975,4.29047619,5.776041667,0.5
1994,6.725,3.913888889,0.425,-4.105,6.425,4.630952381,6.139583333,0.5
1995,7.196666667,4.173148148,0.404166667,-3.821666667,6.744166667,4.963095238,6.511458333,0.5
1996,7.675,4.437962963,0.4,-3.536666667,7.069166667,5.3,6.888541667,0.5
1997,8.143333333,4.691666667,0.4,-3.258333333,7.391666667,5.627380952,7.254166667,0.5
1998,8.64,4.947222222,0.372916667,-2.97,7.703333333,5.95952381,7.63125,0.5
1999,9.12,5.205555556,0.35,-2.686666667,8.026666667,6.288095238,8.004166667,0.5
2000,9.59,5.464814815,0.35,-2.405,8.335833333,6.619047619,8.372916667,0.5
2001,10.04666667,5.713888889,0.327083333,-2.121666667,8.663333333,6.936904762,8.742708333,0.5
2002,10.52166667,5.97962963,0.325,-1.848333333,8.9775,7.269047619,9.119791667,0.5
2003,11.02,6.243518519,0.325,-1.573333333,9.296666667,7.603571429,9.490625,0.5
2004,11.48666667,6.508333333,0.275,-1.29,9.615,7.936904762,9.855208333,0.5
2005,11.97166667,6.762037037,0.275,-0.995,9.948333333,8.26547619,10.22916667,0.5
2006,12.44,7.023148148,0.283333333,-0.703333333,10.2725,8.619047619,10.59375,0.425
2007,12.92,7.291666667,0.275,-0.433333333,10.5825,8.954761905,10.96354167,0.4
2008,13.38666667,7.55,0.275,-0.156666667,10.89833333,9.289285714,11.33125,0.4
2009,13.87333333,7.8,0.252083333,0.126666667,11.21583333,9.629761905,11.71145833,0.4
2010,14.34,8.056481481,0.225,0.41,11.53666667,9.960714286,12.09479167,0.4
2011,14.81833333,8.326851852,0.225,0.693333333,11.84666667,10.29166667,12.46979167,0.4
2012,15.29,8.587962963,0.21875,0.961666667,12.16,10.60952381,12.846875,0.4
2013,15.755,8.850925926,0.2,1.26,12.47666667,10.93095238,13.21666667,0.4
2014,16.22,9.111111111,0.1875,1.545,12.79833333,11.27142857,13.58125,0.4
